國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,月累計票房
日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",68,"13,632",-41.27%,"3,211,734","36,845","8,666,348",20200406,4,31353.0,"31,353"
日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",16,"21,732",152.70%,"5,535,013","30,332","7,716,473",20200427,4,21732.0,"21,732"
日本,犬鳴村,2020/04/01,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",50,"8,596",-43.96%,"2,025,251","23,936","5,621,722",20200406,4,15674.0,"15,674"
美國,搞鬼,2020/04/09,香港商甲上娛樂有限公司台灣分公司,BANKSIDE FILMS LTD,77,"8,877",17.59%,"2,037,579","16,426","3,764,803",20200413,4,15365.0,"15,365"
日本,來自深淵 深沉靈魂的黎明,2020/04/10,向洋影業有限公司,株式会社KADOKAWA,17,"6,344",12.30%,"1,582,571","11,993","2,992,842",20200413,4,11157.0,"11,157"
美國,間諜速成班,2020/04/01,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",87,"5,778",-41.81%,"1,301,645","15,708","3,545,394",20200406,4,10022.0,"10,022"
俄羅斯,末日異戰,2020/04/17,車庫娛樂股份有限公司,ART PICTURES DISTRIBUTION LLC,51,"6,682",-15.46%,"1,555,077","14,586","3,392,731",20200420,4,9630.0,"9,630"
美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",87,"4,494",-66.30%,"1,092,490","255,152","60,893,694",20200406,4,8962.0,"8,962"
印尼,蜈蚣降,2020/04/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,43,"5,459",22.40%,"1,269,453","9,919","2,303,952",20200427,4,5459.0,"5,459"
日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,41,"2,934",-25.51%,"704,184","6,873","1,639,056",20200420,4,4774.0,"4,774"
南韓,政客誠實中,2020/04/10,車庫娛樂股份有限公司,CONTENTS PANDA,51,"3,107",13.02%,"702,849","5,856","1,338,292",20200413,4,4208.0,"4,208"
美國,魔髮精靈唱遊世界,2020/04/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,"2,436",-65.34%,"555,297","9,465","2,157,514",20200406,4,3720.0,"3,720"
澳洲,鑰命監獄,2020/04/17,天馬行空數位有限公司,"IPA-International Production Associates,Inc",21,"2,255",7.33%,"537,585","4,356","1,037,835",20200420,4,3234.0,"3,234"
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,12,646,-18.64%,"211,293","298,585","73,635,161",20200406,4,3197.0,"3,197"
美國,託陰2：布拉姆回來了,2020/03/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",88,"2,034",-71.19%,"455,460","16,950","3,852,323",20200406,4,3054.0,"3,054"
南韓,抓住救命稻草的野獸們,2020/03/27,薩摩亞商雄讚股份有限公司台灣分公司,M-Line Distribution Corportation,75,"1,908",-69.48%,"428,230","14,137","3,163,858",20200406,4,2993.0,"2,993"
法國,美好拾光公司,2020/04/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathe Films S.A.S.,28,"2,687",50.11%,"612,775","4,477","1,022,564",20200427,4,2687.0,"2,687"
美國,絕命直播,2020/03/27,香港商甲上娛樂有限公司台灣分公司,"Live Movie, LLC",80,"1,807",-70.29%,"413,171","15,355","3,491,756",20200406,4,2667.0,"2,667"
日本,Re：從零開始的異世界生活-外傳篇章電影,2020/03/27,木棉花國際股份有限公司,"KADOKAWA SHOTEN CO., LTD.",18,"1,502",-69.44%,"332,532","12,009","2,669,714",20200406,4,2514.0,"2,514"
南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",47,"2,499",-12.87%,"575,618","5,367","1,233,232",20200427,4,2499.0,"2,499"
