陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",79,"18,710",-45.81%,"4,300,362","53,237","12,248,645",20200629,6
1,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",79,"10,895",-41.77%,"2,488,139","64,132","14,736,784",20200706,7
2,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",75,"5,034",-53.80%,"1,153,974","69,166","15,890,758",20200713,7
3,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",59,"2,556",-49.23%,"544,245","71,722","16,435,003",20200720,7
4,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",21,"1,325",-48.16%,"303,726","73,047","16,738,729",20200727,7
5,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",6,89,-93.28%,"19,485","73,136","16,758,214",20200803,8
6,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",4,672,0.00%,"49,400","73,808","16,807,614",20200824,8
7,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",7,893,32.89%,"68,695","74,701","16,876,309",20200831,8
8,美國,72小時前哨救援,2020/6/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",7,877,-1.79%,"78,415","75,578","16,954,724",20200907,9
9,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",7,603,-31.24%,"55,785","76,181","17,010,509",20200914,9
10,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",5,283,-53.07%,"25,495","76,464","17,036,004",20200921,9
11,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",3,39,-86.22%,"3,055","76,503","17,039,059",20200928,9
12,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",1,45,15.38%,"4,920","76,548","17,043,979",20201005,10
13,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",1,80,77.78%,"8,910","76,628","17,052,889",20201012,10
14,美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",2,31,-61.25%,"4,060","76,659","17,056,949",20201019,10
